p_companyname,p_modelname,c_companyname,c_modelname
Apple Inc,iPhone 17 Pro Max,TSMC,A19 Pro
Apple Inc,IPhone 17,TSMC,A19
Apple Inc,iPhone 17 Pro,TSMC,A19 Pro
Apple Inc,iPhone Air,TSMC,A19 Pro
Samsung,Samsung Galaxy S25 FE,Samsung,Exynos 2400
Samsung,Samsung Galaxy A07 4G,TSMC,Helio G99
Samsung,Samsung Galaxy A17,Samsung,Exynos 133-
Samsung,Samsung Galaxy S25 Edge,TSMC,Snapdragon 8 Elite (Gen 4)
Sony,Sony Xperia 10 VII,Samsung,Snapdragon 6 Gen 3
Sony,Sony Xperia 1 VII,TSMC,Snapdragon 8 Elite (Gen 4)
Sony,Sony Xperia 1 VII,TSMC,Snapdragon 8 Gen 3
Sony,Sony Xperia 10 VI,Samsung,Snapdragon 6 Gen 1
Motorola,Motorola Moto G Power,TSMC,Dimensity 6300
Motorola,Motorola Edge 50 Fusion,Samsung,Snapdragon 7s Gen 2
Motorola,Motorola Edge 50 Pro,TSMC,Snapdragon 7 Gen 3
Motorola,Motorola Moto G84,TSMC,Snapdragon 695 5G
Google,Google Pixel 10 Pro XL,TSMC,Google Tensor G5
Google,Google Pixel 10 Pro,TSMC,Google Tensor G5
Google,Google Pixel 10,TSMC,Google Tensor G5
Google,Google Pixel 9a,Samsung,Google Tensor G4
Nothing,Nothing Phone (1),TSMC,Snapdragon 778G+ 5G
Nothing,Nothing Phone (2a),TSMC,Dimensity 7200 Pro
Nothing,Nothing Phone (2),TSMC,Snapdragon 8+ Gen 1
Nothing,Nothing Phone (3a),TSMC,Snapdragon 7s Gen 3
